,P2O5,SiO2,TiO2,Al2O3,V2O3,Cr2O3,MgO,CaO,MnO,FeO,ZnO,Na2O,K2O,S,Total,O=S,Total,X,Y,Z,Beam X,Beam Y,Comment,Distance (µ),Mean Z,Point#,Date,Geo Specie
9 / 1 . ,,0.0884,19.0735,2.5658,0.6106,0.4594,1.4392,0.1026,0.3811,70.3355,0.0685,,,,95.1245,0,95.1245,5651,30148,258, , ,CR1A2_1 Pt10,39.32,19.3405,9,2/25/2020 9:48,Spinel (on the basis of 4 O)
10 / 1 . ,,0.1598,18.8273,2.3253,0.5215,0.1654,1.1981,0.1825,0.4389,70.9213,0.1488,,,,94.8889,0,94.8889,5713,30084,258, , ,CR1A2_1 Pt11,120.32,19.3602,10,2/25/2020 9:58,Spinel (on the basis of 4 O)
1 / 1 . ,0.1429,57.4112,0.612,24.3808,,0,0.2406,8.1469,0,2.2004,,6.1059,0.8396,0,100.0804,0,100.0804,5651,30187,253, , ,CR1A2_1 Pt2,0,11.5408,1,2/25/2020 8:32,Glass (on the basis of 24 O)
2 / 1 . ,0.8554,61.0301,3.0573,11.6754,,0.0106,0.8901,2.3246,0.1692,8.3988,,1.9708,3.5584,0.0094,93.9501,0.0024,93.9478,5651,30185,253, , ,CR1A2_1 Pt3,2,11.6083,2,2/25/2020 8:40,Glass (on the basis of 24 O)
3 / 1 . ,1.0308,58.1234,3.8007,12.9525,,0,1.0242,3.3184,0.1598,10.1897,,2.5868,2.9191,0.0073,96.1126,0.0018,96.1108,5716,30109,253, , ,CR1A2_1 Pt4,101.53,12.0911,3,2/25/2020 8:48,Glass (on the basis of 24 O)
4 / 1 . ,1.3883,62.8742,3.5427,9.1871,,0,1.206,2.6023,0.1999,10.2966,,1.943,3.8251,0.0157,97.0808,0.0039,97.0769,5707,30198,253, , ,CR1A2_1 Pt5,57.07,12.2254,4,2/25/2020 8:58,Glass (on the basis of 24 O)
5 / 1 . ,1.4053,59.2414,3.8531,12.2169,,0,1.4092,3.6655,0.1973,10.0855,,2.5712,1.1062,0.0105,95.7622,0.0026,95.7596,5845,30139,253, , ,CR1A2_1 Pt6,199.85,11.9564,5,2/25/2020 9:10,Glass (on the basis of 24 O)
6 / 1 . ,0.4706,68.3092,1.8865,11.5799,,0,0.3261,1.4179,0.0715,4.342,,1.9536,4.9341,0,95.2913,0,95.2913,5824,30175,253, , ,CR1A2_1 Pt7,173.42,11.2578,6,2/25/2020 9:19,Glass (on the basis of 24 O)
7 / 1 . ,1.4549,61.3124,3.2465,10.2187,,0,1.2143,3.5697,0.1597,9.9886,,2.0577,3.4264,0.0064,96.6552,0.0016,96.6536,5786,30199,258, , ,CR1A2_1 Pt8,135.62,12.152,7,2/25/2020 9:28,Glass (on the basis of 24 O)
8 / 1 . ,0.8896,67.8528,2.3451,13.4352,,0,0.4758,2.6559,0.0864,5.0917,,4.4447,2.9268,0.0043,100.2082,0.0011,100.2071,5611,30278,258, , ,CR1A2_1 Pt9,99.53,11.828,8,2/25/2020 9:38,Glass (on the basis of 24 O)
